title,rating,ratingLevel,ratingDescription
White Chicks,PG-13,"crude and sexual humor, language and some drug content",80
Lucky Number Slevin,R,"strong violence, sexual content and adult language",100
Grey's Anatomy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Prison Break,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
How I Met Your Mother,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Supernatural,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Breaking Bad,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Vampire Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Walking Dead,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Once Upon a Time,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
Sherlock,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Death Note,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Naruto,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
The Hunter,R,language and brief violence,100
Lottie Dottie Chicken,TV-Y,Suitable for all ages.,10
Arrow,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Black Mirror,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Originals,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The 100,NR,This movie has not been rated.,124
Masha and the Bear,TV-Y,Suitable for all ages.,10
"ÌÒ Pai, ÌÒ - Look at This",TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Nymphomaniac: Volume 1,NR,This movie has not been rated.,124
Hunter X Hunter (2011),NR,This movie has not been rated.,124
Marvel's Luke Cage,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
Marvel's Iron Fist,TV-MA,,110
Narcos,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
The Flash,TV-PG,Parental guidance suggested. May not be suitable for all children.,70
The Seven Deadly Sins,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
Scream,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90
The Do-Over,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110
